created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,adressess,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
9/7/15,208230,106402,POINT (-73.97238976811065 40.78218110151048),13,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,"1 WEST 81 STREET,New York,Manhattan,10024",1 WEST 81 STREET,10024,New York,107,1,Manhattan,6,67,29,MN12,Upper West Side,1016500,New York,40.7821811,-73.97239,991896.351,224247.731
9/5/15,204413,204940,POINT (-73.99380070218072 40.59393169321807),13,0,OnCurb,Alive,Good,Quercus phellos,willow oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"2435 HARWAY AVENUE,Brooklyn,Brooklyn,11214",2435 HARWAY AVENUE,11214,Brooklyn,311,3,Brooklyn,47,47,23,BK29,Bensonhurst East,3030400,New York,40.5939317,-73.993801,985971.681,155661.802
8/20/15,161193,409065,POINT (-74.14804001171058 40.5858495229097),9,0,OnCurb,Alive,Good,Quercus phellos,willow oak,None,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,"86 BOGOTA STREET,Staten Island,Staten Island,10314",86 BOGOTA STREET,10314,Staten Island,502,5,Staten Island,50,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthous,5027704,New York,40.5858495,-74.14804,943131.078,152751.948
9/2/15,196132,206122,POINT (-73.97671634831147 40.61293798189811),19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"2347 63 STREET,Brooklyn,Brooklyn,11204",2347 63 STREET,11204,Brooklyn,311,3,Brooklyn,44,48,17,BK29,Bensonhurst East,3043600,New York,40.612938,-73.976716,990714.541,162587.081
9/2/15,196223,310465,POINT (-73.82720922149184 40.714909971907666),17,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"80-025 126 STREET,Kew Gardens,Queens,11415",80-025 126 STREET,11415,Kew Gardens,409,4,Queens,29,27,14,QN60,Kew Gardens,4021600,New York,40.71491,-73.827209,1032150.82,199784.734
8/31/15,192888,210568,POINT (-73.94863403031965 40.6100347683596),32,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,"3778 BEDFORD AVENUE,Brooklyn,Brooklyn,11229",3778 BEDFORD AVENUE,11229,Brooklyn,315,3,Brooklyn,48,41,17,BK44,Madison,3054800,New York,40.6100348,-73.948634,998512.018,161532.687
8/31/15,192890,210568,POINT (-73.94861132582527 40.60991607577651),28,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,"Stones,WiresRope",Yes,No,No,Yes,No,No,No,No,No,"3782 BEDFORD AVENUE,Brooklyn,Brooklyn,11229",3782 BEDFORD AVENUE,11229,Brooklyn,315,3,Brooklyn,48,41,17,BK44,Madison,3054800,New York,40.6099161,-73.948611,998518.347,161489.448
9/2/15,197978,310798,POINT (-73.80826025712618 40.74068683597206),7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"160-001 59 AVENUE,Fresh Meadows,Queens,11365",160-001 59 AVENUE,11365,Fresh Meadows,407,4,Queens,20,25,16,QN62,Queensboro Hill,4121500,New York,40.7406868,-73.80826,1037383.27,209186.954
8/26/15,178601,410841,POINT (-74.15618059801685 40.53211312776527),10,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,"229 HALES AVENUE,Staten Island,Staten Island,10312",229 HALES AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5015602,New York,40.5321131,-74.156181,940835.083,133178.433
8/29/15,184317,505563,POINT (-73.89097860617149 40.856774471838726),5,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,"4634 3 AVENUE,Bronx,Bronx,10458",4634 3 AVENUE,10458,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2038700,New York,40.8567745,-73.890979,1014408.45,251442.354
8/29/15,184031,504204,POINT (-73.90356057731171 40.85091786024071),3,0,OnCurb,Alive,Good,Acer rubrum,red maple,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"223 EAST 179 STREET,Bronx,Bronx,10457",223 EAST 179 STREET,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2023502,New York,40.8509179,-73.903561,1010930.26,249304.486
9/3/15,200225,106629,POINT (-73.97721168704322 40.78993606612256),8,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"565 WEST END AVENUE,New York,Manhattan,10024",565 WEST END AVENUE,10024,New York,107,1,Manhattan,6,67,31,MN12,Upper West Side,1017500,New York,40.7899361,-73.977212,990560.238,227072.746
9/8/15,208974,414958,POINT (-74.1065349443613 40.5610324289115),10,0,OnCurb,Alive,Good,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"227 FINLEY AVENUE,Staten Island,Staten Island,10306",227 FINLEY AVENUE,10306,Staten Island,503,5,Staten Island,50,64,24,SI25,Oakwood-Oakwood Beach,5012806,New York,40.5610324,-74.106535,954648.335,143693.723
9/2/15,198146,411699,POINT (-74.19255286874332 40.539369387860575),6,0,OnCurb,Alive,Good,Acer rubrum,red maple,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,"189 NIPPON AVENUE,Staten Island,Staten Island,10312",189 NIPPON AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI48,Arden Heights,5017009,New York,40.5393694,-74.192553,930730.184,135842.179
9/2/15,198121,104405,POINT (-73.98253014634868 40.745033994065416),8,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,Damage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,"100 EAST 31 STREET,New York,Manhattan,10016",100 EAST 31 STREET,10016,New York,105,1,Manhattan,2,75,28,MN20,Murray Hill-Kips Bay,1007200,New York,40.745034,-73.98253,989090.783,210713.094
9/1/15,195252,102084,POINT (-73.99985934610353 40.7359998531807),5,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"138 WEST 11 STREET,New York,Manhattan,10011",138 WEST 11 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7359999,-73.999859,984288.98,207421.187
